#{"t_start": 1764624546.179369, "env_id": "None"}
r,l,t
970.3,386,65.980954
2031.0,342,66.038743
1207.8,303,66.090321
792.9,438,66.1643
1444.3,320,66.21801
2029.8,332,66.27406
2098.2,237,66.630014
1647.1,280,66.676223
1178.7,333,66.731261
1827.6,370,66.792276
1131.5,371,66.853424
1196.0,329,66.907569
1428.7,401,67.290198
568.2,311,67.342336
1203.0,420,67.412937
1463.7,308,67.464444
1719.6,262,67.508123
1217.4,343,67.565875
1290.3,310,67.617361
1108.7,389,67.998837
1452.9,372,68.061832
1012.8,500,68.146654
1449.3,287,68.196038
1599.3,428,68.268203
1560.0,265,68.627692
1151.5,329,68.68193
1289.9,281,68.727899
1726.4,224,68.764359
1511.6,397,68.82943
1127.7,311,68.880232
1091.8,248,68.920616
1111.3,375,69.298419
1210.8,402,69.364252
1557.8,317,69.416529
1549.8,286,69.46338
1532.4,320,69.515665
1204.6,434,69.587019
1194.6,375,69.966774
1031.0,358,70.027109
1272.75,282,70.07896
1670.4,486,70.159901
2245.2,217,70.195556
815.5,365,70.568652
1086.85,500,70.652015
1137.1,378,70.715342
1180.95,500,70.799041
1042.0,341,70.855584
1430.7,418,71.244224
1207.8,301,71.294467
1224.0,308,71.345697
1429.1,368,71.406754
1000.5,244,71.447144
1189.2,430,71.518534
1178.2,390,71.900456
1504.3,500,71.983907
1628.5,295,72.032848
1040.8,390,72.097456
1049.8,382,72.161299
1352.5,309,72.212721
823.3,270,72.572445
1618.1,353,72.631393
1278.3,399,72.697858
1043.8,425,72.768616
1538.0,257,72.811271
1045.2,339,72.867652
1287.7,356,73.241231
1507.5,257,73.283423
881.0,301,73.332862
963.9,344,73.389532
1114.1,409,73.457337
1058.6,320,73.509994
1142.1,336,73.884045
1354.4,370,73.945287
2301.1,283,73.992007
1264.7,415,74.060814
1622.1,273,74.105778
1368.6,430,74.177471
906.4,361,74.553413
886.8,416,74.62276
1600.4,268,74.667601
1269.9,395,74.733729
1379.2,259,74.776906
1218.4,356,74.835794
1680.6,322,75.203848
1195.8,368,75.264709
883.8,298,75.31378
1593.9,440,75.386285
962.9,409,75.45366
1363.4,363,75.830824
1520.0,465,75.909112
1042.6,372,75.971837
1030.2,410,76.040669
1037.6,374,76.104246
1598.5,457,76.497061
1046.6,423,76.56855
1250.35,500,76.652389
2064.0,281,76.699486
1434.1,360,76.759499
1853.2,288,76.807129
944.8,391,77.188538
1281.1,467,77.267281
935.35,351,77.326281
961.7,443,77.400821
1392.6,318,77.453559
2234.2,267,77.837734
1359.6,322,77.892131
1265.3,457,77.96923
1130.9,405,78.037586
1193.6,444,78.111945
970.3,407,78.496002
1962.1,402,78.562515
1599.9,313,78.614038
917.4,287,78.661369
1102.5,468,78.737814
933.8,500,79.135042
1817.7,251,79.176417
1275.3,471,79.255033
1180.6,429,79.325929
1361.8,440,79.398659
1715.0,274,79.443823
1099.9,452,79.834475
1257.8,500,79.91834
1104.3,465,79.996368
783.65,500,80.079879
1946.2,251,80.121571
870.6,459,80.56377
1090.05,500,80.648411
1931.9,331,80.704046
863.8,479,80.784281
785.3,500,81.186761
894.8,402,81.253482
984.5,464,81.330465
966.5,437,81.402644
1380.2,393,81.467452
1439.3,488,81.86394
1199.9,438,81.936127
952.9,415,82.004349
943.3,411,82.072515
700.8,500,82.472054
1114.5,368,82.532895
1355.8,351,82.590592
1608.9,347,82.64791
910.6,335,82.702932
1589.1,394,82.767802
1526.0,328,83.13681
2289.7,228,83.17449
1598.7,373,83.23614
792.65,500,83.318624
1380.0,273,83.363756
1182.4,418,83.43299
1843.8,311,83.800151
1216.8,332,83.854574
1273.7,384,83.917501
1269.1,363,83.976792
1542.6,247,84.016851
1232.6,318,84.069614
859.7,500,84.470158
1361.0,337,84.525797
1212.0,396,84.591792
1253.95,500,84.675984
1209.2,392,84.742034
1245.0,495,85.141098
1170.8,457,85.21797
1386.2,352,85.277098
1017.6,446,85.35227
1282.9,397,85.418612
1519.2,453,85.810775
1290.3,403,85.878874
505.1,347,85.937324
1529.4,379,86.001315
793.3,395,86.06861
934.7,459,86.463308
1277.9,375,86.526612
1317.5,298,86.57659
1916.6,260,86.619944
2055.6,298,86.669833
1154.35,500,86.75354
840.8,500,87.151834
1442.9,416,87.221177
938.7,451,87.296094
1528.2,387,87.36011
1230.25,500,87.758777
1035.6,356,87.817635
1590.3,413,87.885794
1542.1,235,87.924175
1280.7,345,87.980898
1128.5,438,88.053043
1337.6,428,88.440385
2622.7,364,88.500871
1406.55,500,88.585732
1202.6,384,88.649585
1438.3,481,89.045862
1129.1,384,89.10974
1123.5,446,89.183669
1431.4,350,89.241237
1481.75,500,89.323941
1368.6,336,89.694856
1124.1,410,89.762476
1578.5,447,89.837244
801.7,377,89.900097
1426.7,426,89.971376
1036.6,482,90.367328
1403.15,500,90.45042
1159.7,500,90.533403
1363.6,333,90.588699
1180.4,462,90.665048
722.6,342,91.038219
1666.7,279,91.085859
1055.0,486,91.166758
1283.9,356,91.22608
1276.1,426,91.296944
1552.4,338,91.670274
930.5,491,91.752324
1518.4,387,91.816123
1567.8,315,91.868184
794.1,417,91.936963
1188.0,500,92.335243
1189.0,455,92.411695
1094.8,500,92.49492
1349.8,407,92.5631
694.9,500,92.646403
1267.5,488,93.046956
904.0,325,93.101352
1098.3,451,93.176534
799.5,482,93.256622
1572.7,486,93.653663
1132.5,388,93.718549
1833.4,414,93.788179
946.5,482,93.869107
1175.85,433,93.941631
1394.2,430,94.330182
528.7,500,94.412075
1372.8,375,94.474566
1172.0,483,94.5542
789.1,409,94.621438
1146.1,423,95.007645
1379.8,346,95.065716
1780.1,300,95.116151
1459.3,354,95.175442
1111.45,500,95.25967
1810.3,340,95.633437
1050.2,317,95.686412
941.9,444,95.761314
867.2,422,95.832495
1473.1,411,95.901112
1500.0,469,96.298359
1106.3,423,96.370171
1310.9,294,96.419547
1193.0,429,96.491403
1527.0,291,96.540231
1669.25,329,96.595258
1126.5,311,96.963133
1184.4,379,97.02713
1923.6,233,97.066796
1061.0,331,97.122043
1994.5,305,97.173095
955.4,316,97.226029
1529.0,316,97.595295
1225.8,320,97.648492
1670.5,483,97.729487
1465.5,349,97.787599
1201.2,388,97.852065
924.1,500,97.935313
1455.5,415,98.320054
1216.2,417,98.38933
949.5,403,98.456432
1454.3,359,98.515307
1452.9,305,98.565691
540.5,500,98.965572
1870.1,267,99.01003
1393.4,320,99.063491
2303.9,334,99.119095
1532.6,384,99.183054
1260.4,320,99.237013
853.25,500,99.636574
1180.6,472,99.715331
1608.7,395,99.780864
2282.1,373,99.842904
881.8,487,100.239601
1662.4,452,100.314412
780.9,485,100.394597
849.15,500,100.476879
1360.4,356,100.535672
1267.3,435,100.923991
1260.95,500,101.008277
1016.0,478,101.090352
1116.4,352,101.149354
1293.7,402,101.216506
1352.2,364,101.596677
1578.9,488,101.678105
1429.1,397,101.743983
1717.2,308,101.795006
1592.7,342,101.851714
1037.4,468,102.245068
2053.8,295,102.29385
